concept,boxes,unified_class,method,via
Strongylocentrotus fragilis,3253,benthic_invert,ancestry,Echinoidea
Ophiuroidea,2354,benthic_invert,exact,Ophiuroidea
Porifera,1588,reef,exact,Porifera
Actiniaria,1363,benthic_invert,exact,Actiniaria
Sebastolobus,1041,fish,exact,Sebastolobus
Scleractinia,1033,reef,exact,Scleractinia
Pennatulacea,1011,reef,exact,Pennatulacea
Munidopsis,977,benthic_invert,exact,Munidopsis
Asteroidea,973,benthic_invert,exact,Asteroidea
Crinoidea,916,benthic_invert,exact,Crinoidea
Coralliidae,808,reef,ancestry,Anthozoa;Gorgonacea
Gastropoda,761,benthic_invert,exact,Gastropoda
Psolus squamatus,699,benthic_invert,ancestry,Holothuroidea
equipment,696,equipment,exact,equipment
Anoplopoma fimbria,684,fish,exact,Anoplopoma fimbria
Nanomia bijuga,626,gelatinous,exact,Nanomia bijuga
Holothuroidea,619,benthic_invert,exact,Holothuroidea
Sebastes,557,fish,exact,Sebastes
Scleralcyonacea,534,reef,ancestry,Anthozoa;Gorgonacea
Brisingida,509,benthic_invert,exact,Brisingida
Peniagone,508,benthic_invert,ancestry,Holothuroidea
Pleuronectiformes,467,fish,exact,Pleuronectiformes
Farrea,456,reef,ancestry,Porifera
Beroe,449,gelatinous,exact,Beroe
Macrouridae,438,fish,exact,Macrouridae
Solmissus,437,gelatinous,exact,Solmissus
Hexactinellida,437,reef,ancestry,Porifera
Physonectae,432,gelatinous,exact,Physonectae
Siphonophorae,415,gelatinous,exact,Siphonophorae
Actinopterygii,408,fish,exact,Actinopterygii
Isosicyonis,406,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Atolla,403,gelatinous,exact,Atolla
Aegina citrea,400,gelatinous,exact,Aegina citrea
Primnoidae,378,reef,ancestry,Anthozoa;Gorgonacea
Rathbunaster californicus,374,benthic_invert,ancestry,Asteroidea
Keratoisididae,360,reef,ancestry,Anthozoa;Gorgonacea
Serpulidae,349,benthic_invert,ancestry,Polychaeta
Chionoecetes tanneri,339,benthic_invert,ancestry,Decapoda
Pannychia moseleyi,339,benthic_invert,ancestry,Holothuroidea
Zoantharia,322,reef,ancestry,Anthozoa
coral skeleton,269,,unresolved,
Heteropolypus ritteri,265,reef,ancestry,Anthozoa;Gorgonacea
Poralia,229,gelatinous,exact,Poralia
Octocorallia,227,reef,ancestry,Anthozoa;Gorgonacea
Polychaeta,224,benthic_invert,exact,Polychaeta
Funiculina,223,reef,ancestry,Anthozoa;Gorgonacea
Coryphaenoides,221,fish,ancestry,Actinopterygii;Macrouridae
Anthozoa,208,reef,exact,Anthozoa
Antipatharia,206,reef,ancestry,Anthozoa
Liponema brevicorne,205,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Decapoda,203,benthic_invert,exact,Decapoda
Porifera detritus,202,,unresolved,
Scotoplanes globosa,200,benthic_invert,ancestry,Holothuroidea
Galatheoidea,197,benthic_invert,ancestry,Decapoda
Merluccius productus,194,fish,ancestry,Actinopterygii;Merlucciidae
marine organism,188,,unresolved,
manipulator,181,equipment,ancestry,equipment
Doryteuthis (Amerigo) opalescens,169,,unresolved,
Tunicata,158,,unresolved,
Chrysogorgiidae,150,reef,ancestry,Anthozoa;Gorgonacea
Neptunea-Buccinum Complex,144,benthic_invert,ancestry,Gastropoda
Suction Sampler,144,equipment,ancestry,equipment
Heterochone calyx,144,reef,ancestry,Porifera
Salpida,134,gelatinous,exact,Salpida
Vesicomyidae,133,benthic_invert,ancestry,Bivalvia
Bivalvia,131,benthic_invert,exact,Bivalvia
Chrysogorgia,128,reef,ancestry,Anthozoa;Gorgonacea
Staurocalyptus,128,reef,ancestry,Porifera
Pandalus platyceros,128,benthic_invert,ancestry,Decapoda
Octopus rubescens,122,benthic_invert,ancestry,Octopoda
Isopoda,119,benthic_invert,exact,Isopoda
Comatulida,113,benthic_invert,ancestry,Crinoidea
Scotoplanes,113,benthic_invert,ancestry,Holothuroidea
Pyrosoma atlanticum,112,,unresolved,
Pyrosoma detritus,111,,unresolved,
Push Corer,110,equipment,ancestry,equipment
Hormathiidae,104,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Caridea,98,benthic_invert,ancestry,Decapoda
trash,93,debris,exact,trash
Benthocodon pedunculata,92,gelatinous,ancestry,Hydrozoa
Swiftia kofoidi,91,,unresolved,
Asbestopluma,90,reef,ancestry,Porifera
Ptychogastria polaris,86,gelatinous,ancestry,Hydrozoa
Actinernus,84,benthic_invert,ancestry-specific,Actiniaria;Anthozoa
Bathochordaeus stygius,82,gelatinous,ancestry,Larvacea
Peniagone sp. A,82,benthic_invert,ancestry,Holothuroidea
Umbellula,81,reef,ancestry,Anthozoa;Gorgonacea
Sclerothamnopsis,81,reef,ancestry,Porifera
Scotoplanes sp. A,77,benthic_invert,ancestry,Holothuroidea
Paelopatides confundens,77,benthic_invert,ancestry,Holothuroidea
Ophidiidae,74,fish,exact,Ophidiidae
Pennatula,73,reef,ancestry,Anthozoa;Gorgonacea
Dosidicus gigas,72,,unresolved,
Umbellula sp. 2,72,reef,ancestry,Anthozoa;Gorgonacea
Bathyraja kincaidii,71,fish,ancestry,Elasmobranchii;Rajiformes
Swiftia simplex,71,,unresolved,
Microstomus pacificus,70,fish,ancestry,Actinopterygii;Pleuronectiformes
LRJ complex,69,gelatinous,ancestry,Hydrozoa
Ciona intestinalis,68,,unresolved,
Corallimorpharia,68,reef,ancestry,Anthozoa
Zoarcidae,67,fish,exact,Zoarcidae
Melanocetus,66,fish,exact,Melanocetus
Eusergestes similis,66,benthic_invert,ancestry,Decapoda
Swiftia,66,reef,ancestry,Anthozoa;Gorgonacea
Bathyraja trachura,65,fish,ancestry,Elasmobranchii;Rajiformes
Paragorgia,65,reef,ancestry,Anthozoa;Gorgonacea
Calyptogena magnifica,65,benthic_invert,ancestry,Bivalvia
Dendrophylliidae,63,reef,ancestry,Anthozoa;Scleractinia
Keratoisis,62,reef,ancestry,Anthozoa;Gorgonacea
Corallimorphus pilatus,62,reef,ancestry,Anthozoa
Plexauridae,62,reef,ancestry,Anthozoa;Gorgonacea
Synallactidae,62,benthic_invert,ancestry,Holothuroidea
Pandalus amplus,59,benthic_invert,ancestry,Decapoda
Anthomastus cf. tahinodus,59,,unresolved,
Euplectellidae,58,reef,ancestry,Porifera
Vesicomya,58,benthic_invert,ancestry,Bivalvia
Embassichthys bathybius,55,fish,ancestry,Actinopterygii;Pleuronectiformes
Chorilia longipes,53,benthic_invert,ancestry,Decapoda
Asteronyx,53,benthic_invert,ancestry,Ophiuroidea
Funiculina-Balticina complex,51,reef,ancestry,Anthozoa;Gorgonacea
detritus,50,,unresolved,
Paragorgiidae,50,reef,ancestry,Anthozoa;Gorgonacea
Terebellidae,50,benthic_invert,ancestry,Polychaeta
Riftia pachyptila,50,benthic_invert,ancestry,Polychaeta
Ctenophora,48,gelatinous,exact,Ctenophora
Hippasteria,48,benthic_invert,ancestry,Asteroidea
Delectopecten,47,benthic_invert,ancestry,Bivalvia
Ceriantharia,46,reef,ancestry,Anthozoa
Echinoidea,45,benthic_invert,exact,Echinoidea
detrital aggregate,45,,unresolved,
fecal cast,44,,unresolved,
Hexacorallia,44,reef,ancestry,Anthozoa
